"RT"	"Int1"	"Int2"	"Int3"	"Int4"	"Int5"	"Int6"
3325.9	0	441.621185302734	5.68769121170044	258.308563232422	0	0.349639624357224
3329.3	0	423.401031494141	36.9234809875488	92.9108276367188	10.6997356414795	0
3332.7	0	341.407562255859	31.830379486084	28.980936050415	11.3407869338989	0.699279248714447
3336.1	0	242.755935668945	16.7953796386719	17.6917247772217	8.38029384613037	3.14675641059875
3339.6	0	158.694702148438	8.13555526733398	24.0213794708252	6.1540961265564	4.17236614227295
3343	0	115.000953674316	20.6994876861572	21.934684753418	6.76018142700195	3.14675641059875
3346.4	0	88.1255722045898	19.6735725402832	23.4960765838623	7.43619966506958	1.04891884326935
3349.8	0	43.0768203735352	23.9161567687988	8.74120044708252	5.1051025390625	0
3353.2	0	37.9011726379395	18.1586017608643	2.19125247001648	4.89530372619629	1.04891884326935
3356.6	0.349639683961868	57.529296875	12.098032951355	8.27504444122314	2.56420683860779	3.14675641059875
3360	0	70.046257019043	7.78575658798218	9.74330139160156	3.24022483825684	4.17236614227295
3363.4	0.699279367923737	64.615966796875	9.76708698272705	6.06034803390503	3.49664545059204	3.14675641059875
3366.9	3.14675712585449	46.340030670166	4.98832845687866	0	0.699329137802124	1.04891884326935
3370.3	4.17236661911011	29.2062721252441	10.023419380188	0	0	0
3373.7	3.14675712585449	31.6770038604736	18.2521018981934	8.85784435272217	0.349664568901062	0.116546534001827
3377.1	0.699279367923737	37.808780670166	21.3757858276367	13.9162340164185	1.04896342754364	3.61300659179688
3380.5	0	26.2007007598877	14.4292993545532	10.0236339569092	1.45163012348348e-05	6.96937704086304
3383.9	0.699279367923737	19.2541980743408	2.44766998291016	8.01880264282227	0	4.05559301376343
3387.3	0	34.3349533081055	0.116466328501701	5.36112642288208	10.8395977020264	17.342565536499
3390.8	0.699279367923737	38.6010246276855	8.48499393463135	7.2957820892334	46.2011260986328	41.5392036437988
3394.2	3.14675712585449	27.2958221435547	8.9512186050415	8.97418689727783	77.7158432006836	58.4396705627441
3397.6	4.17236661911011	19.557445526123	7.20292901992798	16.4105377197266	72.4703369140625	54.5467948913574
3401	3.14675712585449	14.4292440414429	9.67369174957275	15.3151330947876	38.2508735656738	28.3922538757324
3404.4	0.699279367923737	27.4364356994629	12.8904724121094	14.429160118103	11.4216499328613	4.17252588272095
3407.8	0	33.0076560974121	16.9697322845459	7.80910778045654	13.9402551651001	4.77818155288696
3411.2	0.349639683961868	30.466480255127	19.5572166442871	4.87209415435791	10.6765985488892	7.20255756378174
3414.7	0	21.3059940338135	12.1912317276001	6.85335922241211	8.85809135437012	7.43574333190918
3418.1	0	26.7136096954346	10.6993961334229	2.09806275367737	1.39865708351135	2.33083200454712
3421.5	0	44.4516067504883	6.29383754730225	1.1655957698822	6.85342407226562	0
3424.9	0.349639683961868	49.509765625	0	14.5456790924072	8.60174655914307	3.96281886100769
3428.3	0	33.4727325439453	12.1213722229004	22.308069229126	9.76729774475098	13.9396715164185
3431.7	0.699279367923737	19.6727771759033	23.3803215026855	28.601806640625	7.92573595046997	24.31298828125
3435.1	3.14675712585449	27.6918334960938	26.3410797119141	22.3547744750977	7.87911605834961	28.835298538208
3438.6	4.17236661911011	46.0368537902832	33.6605606079102	12.8673152923584	7.92573595046997	27.2036457061768
3442	3.49639678001404	47.8553009033203	26.7370357513428	11.8879766464233	9.76729774475098	25.0122661590576
3445.4	0	33.6601791381836	23.799768447876	21.7480812072754	8.2520809173584	16.7367877960205
3448.8	0	20.5830459594727	30.8629493713379	25.4545269012451	7.43620014190674	9.0675573348999
3452.2	4.19567632675171	18.3446388244629	19.3943023681641	21.8418025970459	3.26353573799133	3.37985181808472
3455.6	7.66876363754272	23.2634181976318	14.2894878387451	11.0724124908447	3.26353573799133	0
3459	6.03711175918579	14.3124217987061	13.0535469055176	3.03014183044434	1.95812153816223	0
3462.4	4.54531574249268	5.33807516098022	12.4242095947266	6.71287536621094	4.19597482681274	4.19567537307739
